stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
278,278,19 Elmira southbound,Elmira Road South,43.522933,-80.292325,0,,,,,0
279,279,Elmira at Paisley southbound,Elmira Road South,43.521901,-80.289829,0,,,,,0
280,280,Elmira at Freshmeadow southbound,Elmira Road South,43.519705,-80.284338,,,,,,0
281,281,Elmira at Rochelle southbound,Elmira Road South,43.517806,-80.280426,,,,,,0
282,282,Fife at Deerfield eastbound,Fife Road,43.513927,-80.275284,,,,,,0
283,283,Fife at Gateway eastbound,Fife Road & GATEWAY DR,43.51545,-80.273229,,,,,,0
284,284,Fife at Wellington eastbound,26 Fife Road,43.517795,-80.270059,,,,,,0
292,292,Gordon at McGilvray northbound,Gordon Street,43.530955,-80.230823,,,,,,0
294,294,Gordon at Dormie northbound,Gordon Street,43.536943,-80.239233,,,,,,0
295,295,Gordon at Water northbound,Gordon Street,43.538065,-80.240806,,,,,,0
297,297,Wyndham at Fountain northbound,Wyndham Street South,43.543374,-80.245301,,,,,,0
302,302,Woolwich at Cardigan northbound,Woolwich Street,43.54823,-80.251777,,,,,,0
305,305,Suffolk at Glasgow westbound,Suffolk Street West,43.545538,-80.258478,0,,,,,0
306,306,Yorkshire at London northbound,Yorkshire Street North,43.546384,-80.261747,,,,,,0
307,307,Westmount at Summit northbound,Westmount Road,43.548128,-80.266951,,,,,,0
308,308,Westmount at Division northbound,Westmount Road,43.550094,-80.269665,,,,,,0
310,310,Westmount at Speedvale northbound,Westmount Road,43.553407,-80.27425,,,,,,0
315,315,21 Woodlawn eastbound,21 Woodlawn Road East,43.566309,-80.275597,0,,,,,0
316,316,Woodlawn at Speed River eastbound,Woodlawn Road East,43.569351,-80.271398,,,,,,0
317,317,Woodlawn at Fairway eastbound,Woodlawn Road East,43.571985,-80.267709,,,,,,0
318,318,Woodlawn at Golfview eastbound,Woodlawn Road East,43.574392,-80.264349,,,,,,0
319,319,Inverness at Glenbrook northbound,Inverness Drive,43.577029,-80.263722,,,,,,0
320,320,Inverness at Wilton northbound,Inverness Drive,43.579193,-80.266734,,,,,,0
321,321,Victoria at Norma southbound,Victoria Road North,43.580844,-80.264329,,,,,,0
322,322,Victoria at Woodlawn southbound,Victoria Road North,43.577902,-80.260293,,,,,,0
